race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model
2022_01,0.0,0.0,7.0,0.0543859649122807,6.3,0.22389717411359994,20.0,3.734582008908014,0.062131250202759045,calibrated_championship
2022_02,0.0,0.0,18.0,0.14725274725274726,5.578947368421052,0.4348368705750462,19.0,7.1159285953202795,0.06694150968802932,calibrated_championship
2022_03,1.0,1.0,1.0,0.6348039215686275,4.8,0.7706642043132272,20.0,0.9260929116904657,0.02086832974416531,calibrated_championship
2022_04,0.0,0.0,6.0,0.5170278637770898,5.1,0.18300657198870862,20.0,3.203344654518177,0.056997674197228974,calibrated_championship
2022_05,0.0,1.0,2.0,0.8088235294117647,3.6,0.8587870123923903,20.0,1.781202599695031,0.043636673331594315,calibrated_championship
2022_06,0.0,1.0,2.0,0.8493292053663571,3.2,0.6843159707747805,20.0,1.7792811389643564,0.04372848507381104,calibrated_championship
2022_07,0.0,1.0,3.0,0.8210784313725491,3.0,0.6709982431534356,20.0,2.259547819522842,0.050281303753397656,calibrated_championship
2022_08,1.0,1.0,1.0,0.7735294117647058,4.6,0.9095565943566785,20.0,0.9166904051024792,0.020636321231659902,calibrated_championship
2022_09,1.0,1.0,1.0,0.6838235294117648,4.0,0.8455834752161457,20.0,0.8860145083943314,0.019872257852145053,calibrated_championship
2022_10,0.0,0.0,5.0,0.7494505494505495,4.7,0.5029570677129819,20.0,2.962710588401854,0.056407161483444414,calibrated_championship
2022_11,0.0,1.0,3.0,0.6960784313725491,4.5,0.6936589879391979,20.0,2.265997287514084,0.050797464827752305,calibrated_championship
2022_12,1.0,1.0,1.0,0.8294117647058824,3.5,0.780815895013209,20.0,0.8884116303041615,0.01993235045424361,calibrated_championship
2022_13,1.0,1.0,1.0,0.7744360902255639,2.9,0.7777782462183408,20.0,0.8623947088890933,0.01927674256625065,calibrated_championship
2022_14,1.0,1.0,1.0,0.739938080495356,4.3,0.9311429737414604,20.0,0.8379749164111913,0.018654764264540095,calibrated_championship
2022_15,1.0,1.0,1.0,0.8163054695562436,3.1,0.8968270142695045,20.0,0.8150107863067071,0.018064302156328378,calibrated_championship
2022_16,1.0,1.0,1.0,0.7823529411764706,3.6,0.9780121394761891,20.0,0.7933667978325136,0.017503115655438554,calibrated_championship
2022_17,0.0,1.0,3.0,0.3450549450549451,4.0,0.606270835765806,20.0,2.302546931494687,0.05313476384561074,calibrated_championship
2022_18,1.0,1.0,1.0,0.7502579979360166,3.4,0.9402683711198732,20.0,0.7812938012743645,0.017188218132300256,calibrated_championship
2022_19,1.0,1.0,1.0,0.8480392156862745,3.8,0.8067744002507561,20.0,0.7622340300753369,0.016688509591410473,calibrated_championship
2022_20,1.0,1.0,1.0,0.7824561403508771,2.6,0.7926520648370382,20.0,0.7441527671277917,0.016211706496541838,calibrated_championship
2022_21,0.0,0.0,4.0,0.8504901960784315,3.6,0.45250844346371694,20.0,2.7503166588078103,0.05770257775445118,calibrated_championship
2022_22,1.0,1.0,1.0,0.6894736842105263,3.4,0.9726527483811256,20.0,0.7422738675034347,0.016162014146060336,calibrated_championship
2023_01,1.0,1.0,1.0,0.6960784313725491,4.4,0.8689329622513345,20.0,0.7259263077424872,0.015728651753345556,calibrated_championship
2023_02,0.0,1.0,2.0,0.6346749226006192,4.0,0.8423157852249962,20.0,1.7537606789177935,0.047150674449945154,calibrated_championship
2023_03,1.0,1.0,1.0,0.45098039215686275,5.4,0.8968270142695045,20.0,0.7104648666644698,0.01531689484753151,calibrated_championship
2023_04,0.0,1.0,2.0,0.7440660474716203,2.9,0.798497291646962,20.0,1.754090686593477,0.047483479554562696,calibrated_championship
2023_05,1.0,1.0,1.0,0.7443609022556391,3.1,0.9716926030087767,20.0,0.6963191812761401,0.014938919095014241,calibrated_championship
2023_06,1.0,1.0,1.0,0.6456140350877193,3.7,0.8718133983683809,20.0,0.6826780756011347,0.014573320809001237,calibrated_championship
2023_07,1.0,1.0,1.0,0.8481203007518796,2.5,0.9215227978213175,20.0,0.6696021128220846,0.014221949399374795,calibrated_championship
